日期,门店名称,门店id,省份,门店所在城市,区县市,营业收入,优惠前总额,顾客实付,有效订单,实付单均价,活动补贴,顾客实付（不含券）,实付单均价（不含券）,曝光人数,入店人数,入店转化率,下单转化率,曝光新客,入店新客,新客入店转化率,新客下单转化率,曝光老客,入店老客,老客入店转化率,老客下单转化率,曝光次数,入店次数,下单人数,下单新客,下单老客,数据类型
2026-04-23,样例门店A,9001001,北京市,北京,朝阳区,727.38,1220.44,918.52,26.0,35.33,349.24,863.41,33.21,820,120,14.66%,21.64%,377,52,13.70%,22.90%,443,68,15.47%,20.70%,1445,148,26,12,14,sample
2026-04-23,样例门店B,9001002,北京市,北京,海淀区,1012.64,1627.56,1213.98,31.0,39.16,470.00,1141.15,36.81,1053,170,16.12%,18.26%,484,73,15.07%,19.33%,569,97,17.01%,17.46%,1655,220,31,14,17,sample
2026-04-23,样例门店C,9001003,北京市,北京,西城区,1154.69,1865.09,1375.81,32.0,42.99,547.53,1293.26,40.41,1180,191,16.15%,16.79%,543,82,15.10%,17.76%,637,109,17.05%,16.05%,2078,247,32,15,17,sample
2026-04-23,样例门店D,9001004,北京市,北京,丰台区,1675.66,2614.55,1919.92,41.0,46.83,769.26,1804.72,44.02,1610,290,18.04%,14.12%,741,125,16.86%,14.94%,869,166,19.04%,13.50%,2641,357,41,19,22,sample
2026-04-24,样例门店A,9001001,北京市,北京,朝阳区,845.34,1383.68,1034.38,28.0,36.94,400.26,972.31,34.73,879,122,13.84%,23.01%,404,52,12.94%,20.34%,475,69,14.61%,25.03%,1512,158,28,11,17,sample
2026-04-24,样例门店B,9001002,北京市,北京,海淀区,1132.38,1727.42,1347.05,33.0,40.82,440.44,1266.22,38.37,1118,167,14.95%,19.74%,514,72,13.97%,17.45%,604,95,15.78%,21.48%,1891,210,33,13,20,sample
2026-04-24,样例门店C,9001003,北京市,北京,西城区,1311.60,2010.07,1564.40,35.0,44.70,509.37,1470.54,42.02,1286,214,16.64%,16.37%,591,92,15.55%,14.46%,694,122,17.56%,17.80%,2088,272,35,13,22,sample
2026-04-24,样例门店D,9001004,北京市,北京,丰台区,1649.47,2534.82,1942.99,40.0,48.57,664.63,1826.41,45.66,1576,280,17.78%,14.27%,725,121,16.62%,12.61%,851,160,18.77%,15.52%,2448,348,40,15,25,sample
2026-04-25,样例门店A,9001001,北京市,北京,朝阳区,775.26,1299.65,964.60,25.0,38.58,380.55,906.72,36.27,798,127,15.89%,19.72%,367,55,14.86%,18.58%,431,72,16.78%,20.59%,1294,160,25,10,15,sample
2026-04-25,样例门店B,9001002,北京市,北京,海淀区,1009.07,1617.85,1232.67,29.0,42.51,437.95,1158.71,39.96,997,162,16.30%,17.85%,459,70,15.24%,16.81%,538,93,17.21%,18.63%,1754,210,29,12,17,sample
2026-04-25,样例门店C,9001003,北京市,北京,西城区,1427.15,2352.49,1717.84,37.0,46.43,702.00,1614.77,43.64,1357,216,15.90%,17.15%,624,93,14.86%,16.16%,733,123,16.78%,17.91%,2246,279,37,15,22,sample
2026-04-25,样例门店D,9001004,北京市,北京,丰台区,1794.46,2841.21,2064.35,41.0,50.35,851.48,1940.49,47.33,1616,293,18.16%,13.97%,743,126,16.97%,13.16%,873,167,19.17%,14.58%,2650,370,41,17,24,sample
2026-04-26,样例门店A,9001001,北京市,北京,朝阳区,809.99,1348.42,986.99,27.0,36.56,410.57,927.77,34.36,857,133,15.56%,20.25%,394,57,14.55%,20.25%,463,76,16.43%,20.25%,1461,173,27,12,15,sample
2026-04-26,样例门店B,9001002,北京市,北京,海淀区,1023.18,1683.70,1256.17,31.0,40.52,483.95,1180.80,38.09,1062,171,16.07%,18.16%,489,73,15.02%,18.16%,574,97,16.96%,18.16%,1858,213,31,13,18,sample
2026-04-26,样例门店C,9001003,北京市,北京,西城区,1339.87,2014.06,1557.08,35.0,44.49,520.68,1463.66,41.82,1292,218,16.86%,16.07%,594,94,15.76%,16.07%,697,124,17.80%,16.07%,2146,287,35,15,20,sample
2026-04-26,样例门店D,9001004,北京市,北京,丰台区,1781.47,2707.44,2083.54,43.0,48.45,702.16,1958.53,45.55,1693,311,18.38%,13.81%,779,134,17.19%,13.81%,914,177,19.41%,13.81%,2808,399,43,18,25,sample
2026-04-27,样例门店A,9001001,北京市,北京,朝阳区,730.48,1196.54,924.11,25.0,36.96,317.93,868.66,34.75,804,111,13.77%,22.60%,370,48,12.87%,23.92%,434,63,14.53%,21.61%,1297,135,25,11,14,sample
2026-04-27,样例门店B,9001002,北京市,北京,海淀区,1000.65,1632.42,1188.28,29.0,40.98,496.92,1116.98,38.52,1003,162,16.10%,17.96%,461,69,15.05%,19.00%,542,92,17.00%,17.17%,1564,211,29,13,16,sample
2026-04-27,样例门店C,9001003,北京市,北京,西城区,1339.89,2158.13,1574.51,35.0,44.99,647.32,1480.04,42.29,1294,227,17.53%,15.42%,595,98,16.39%,16.32%,699,129,18.50%,14.75%,2223,295,35,16,19,sample
2026-04-27,样例门店D,9001004,北京市,北京,丰台区,1578.38,2326.31,1812.88,37.0,49.00,580.77,1704.11,46.06,1474,259,17.56%,14.30%,678,111,16.42%,15.13%,796,148,18.54%,13.67%,2293,320,37,17,20,sample
2026-04-28,样例门店A,9001001,北京市,北京,朝阳区,854.87,1399.88,1043.12,27.0,38.63,405.90,980.53,36.32,863,117,13.54%,23.12%,397,50,12.65%,20.43%,466,67,14.29%,25.15%,1388,147,27,10,17,sample
2026-04-28,样例门店B,9001002,北京市,北京,海淀区,1080.88,1754.91,1323.37,31.0,42.69,487.96,1243.96,40.13,1068,175,16.42%,17.68%,491,75,15.35%,15.62%,577,100,17.33%,19.23%,1711,224,31,12,19,sample
2026-04-28,样例门店C,9001003,北京市,北京,西城区,1280.18,1981.77,1495.82,32.0,46.74,544.19,1406.07,43.94,1195,195,16.32%,16.41%,550,84,15.25%,14.50%,645,111,17.22%,17.85%,1922,245,32,12,20,sample
2026-04-28,样例门店D,9001004,北京市,北京,丰台区,1740.44,2677.97,1981.18,39.0,50.80,767.76,1862.31,47.75,1551,272,17.56%,14.32%,713,117,16.41%,12.66%,837,155,18.53%,15.58%,2470,350,39,15,24,sample
2026-04-29,样例门店A,9001001,北京市,北京,朝阳区,927.35,1455.70,1129.27,28.0,40.33,377.39,1061.52,37.91,894,130,14.55%,21.53%,411,56,13.60%,20.28%,483,74,15.36%,22.48%,1485,168,28,11,17,sample
2026-04-29,样例门店B,9001002,北京市,北京,海淀区,1085.39,1716.49,1288.49,29.0,44.43,480.77,1211.18,41.76,1009,151,14.93%,19.25%,464,65,13.96%,18.13%,545,86,15.76%,20.09%,1575,192,29,12,17,sample
2026-04-29,样例门店C,9001003,北京市,北京,西城区,1477.07,2405.20,1747.09,36.0,48.53,723.62,1642.27,45.62,1335,226,16.96%,15.90%,614,97,15.86%,14.98%,721,129,17.91%,16.60%,2376,280,36,15,21,sample
2026-04-29,样例门店D,9001004,北京市,北京,丰台区,1802.60,2670.80,2052.57,39.0,52.63,689.21,1929.42,49.47,1554,248,15.97%,15.71%,715,107,14.93%,14.80%,839,141,16.86%,16.40%,2567,324,39,16,23,sample
2026-04-30,样例门店A,9001001,北京市,北京,朝阳区,645.03,1049.11,802.03,21.0,38.19,285.30,753.91,35.90,700,110,15.73%,19.07%,322,47,14.71%,19.07%,378,63,16.61%,19.07%,1105,145,21,9,12,sample
2026-04-30,样例门店B,9001002,北京市,北京,海淀区,926.82,1573.70,1143.07,27.0,42.34,479.77,1074.49,39.80,950,155,16.35%,17.39%,437,67,15.28%,17.39%,513,88,17.25%,17.39%,1605,193,27,12,15,sample
2026-04-30,样例门店C,9001003,北京市,北京,西城区,1145.35,1826.13,1347.92,29.0,46.48,530.99,1267.04,43.69,1099,190,17.25%,15.30%,505,82,16.12%,15.30%,593,108,18.21%,15.30%,1911,246,29,12,17,sample
2026-04-30,样例门店D,9001004,北京市,北京,丰台区,1574.89,2489.49,1822.46,36.0,50.62,732.55,1713.12,47.59,1446,262,18.12%,13.74%,665,113,16.94%,13.74%,781,149,19.13%,13.74%,2597,324,36,15,21,sample
2026-05-01,样例门店A,9001001,北京市,北京,朝阳区,702.67,1168.20,877.87,22.0,39.90,330.37,825.19,37.51,731,109,14.89%,20.20%,336,47,13.92%,21.38%,395,62,15.72%,19.32%,1225,144,22,10,12,sample
2026-05-01,样例门店B,9001002,北京市,北京,海淀区,989.59,1547.27,1190.47,27.0,44.09,405.94,1119.04,41.45,953,147,15.45%,18.34%,438,63,14.44%,19.41%,514,84,16.31%,17.54%,1565,180,27,12,15,sample
2026-05-01,样例门店C,9001003,北京市,北京,西城区,1265.48,1925.72,1496.67,31.0,48.28,485.47,1406.87,45.38,1170,196,16.78%,15.79%,538,84,15.69%,16.70%,632,112,17.72%,15.09%,1823,258,31,14,17,sample
2026-05-01,样例门店D,9001004,北京市,北京,丰台区,1598.18,2363.91,1836.39,35.0,52.47,591.23,1726.20,49.32,1412,243,17.24%,14.38%,649,105,16.12%,15.22%,762,139,18.20%,13.75%,2494,299,35,16,19,sample
2026-05-02,样例门店A,9001001,北京市,北京,朝阳区,870.40,1415.13,1082.68,26.0,41.64,379.76,1017.72,39.14,847,131,15.50%,19.81%,389,56,14.49%,17.51%,457,75,16.37%,21.55%,1324,172,26,10,16,sample
2026-05-02,样例门店B,9001002,北京市,北京,海淀区,1299.48,2124.51,1559.73,34.0,45.87,626.66,1466.15,43.12,1173,168,14.32%,20.23%,540,72,13.39%,17.88%,634,96,15.12%,22.01%,1993,216,34,13,21,sample
2026-05-02,样例门店C,9001003,北京市,北京,西城区,1713.38,2702.11,2054.40,41.0,50.11,722.34,1931.13,47.10,1514,258,17.04%,15.89%,696,111,15.93%,14.04%,818,147,17.99%,17.29%,2616,339,41,16,25,sample
2026-05-02,样例门店D,9001004,北京市,北京,丰台区,2106.97,3143.12,2445.30,45.0,54.34,779.72,2298.58,51.08,1786,303,16.97%,14.85%,821,130,15.86%,13.12%,964,173,17.91%,16.15%,3016,398,45,17,28,sample
2026-05-03,样例门店A,9001001,北京市,北京,朝阳区,888.39,1447.53,1103.75,28.0,39.42,394.75,1037.52,37.05,906,131,14.44%,21.41%,417,56,13.50%,20.17%,489,75,15.24%,22.35%,1593,171,28,11,17,sample
2026-05-03,样例门店B,9001002,北京市,北京,海淀区,1229.98,2042.74,1485.69,34.0,43.70,618.92,1396.55,41.07,1176,172,14.58%,19.82%,541,74,13.63%,18.67%,635,98,15.39%,20.69%,1858,221,34,14,20,sample
2026-05-03,样例门店C,9001003,北京市,北京,西城区,1552.39,2566.86,1870.99,39.0,47.97,766.86,1758.73,45.10,1449,229,15.79%,17.04%,666,98,14.76%,16.05%,782,130,16.67%,17.79%,2322,284,39,16,23,sample
2026-05-03,样例门店D,9001004,北京市,北京,丰台区,1924.25,2989.02,2194.55,42.0,52.25,870.91,2062.88,49.12,1677,267,15.91%,15.74%,772,115,14.88%,14.82%,906,152,16.80%,16.43%,2754,338,42,17,25,sample
2026-05-04,样例门店A,9001001,北京市,北京,朝阳区,801.21,1360.79,995.72,25.0,39.83,410.57,935.98,37.44,824,132,15.97%,18.99%,379,57,14.93%,18.99%,445,75,16.86%,18.99%,1288,175,25,11,14,sample
2026-05-04,样例门店B,9001002,北京市,北京,海淀区,1174.93,1898.68,1412.81,32.0,44.15,544.10,1328.04,41.50,1117,186,16.62%,17.23%,514,80,15.54%,17.23%,603,106,17.55%,17.23%,1836,242,32,14,18,sample
2026-05-04,样例门店C,9001003,北京市,北京,西城区,1342.44,2139.93,1599.58,33.0,48.47,600.42,1503.60,45.56,1247,189,15.18%,17.43%,574,81,14.19%,17.43%,674,108,16.02%,17.43%,1968,249,33,14,19,sample
2026-05-04,样例门店D,9001004,北京市,北京,丰台区,1715.47,2529.13,1953.36,37.0,52.79,643.11,1836.16,49.63,1495,242,16.19%,15.29%,688,104,15.13%,15.29%,807,138,17.09%,15.29%,2372,320,37,16,21,sample
2026-05-05,样例门店A,9001001,北京市,北京,朝阳区,719.24,1196.20,873.50,21.0,41.59,360.93,821.09,39.10,715,108,15.14%,19.39%,329,47,14.15%,20.52%,386,62,15.98%,18.54%,1114,133,21,10,11,sample
2026-05-05,样例门店B,9001002,北京市,北京,海淀区,1010.14,1644.61,1240.95,27.0,45.96,452.80,1166.49,43.20,965,146,15.18%,18.44%,444,63,14.19%,19.51%,521,83,16.02%,17.63%,1570,189,27,12,15,sample
2026-05-05,样例门店C,9001003,北京市,北京,西城区,1327.40,2008.04,1560.14,31.0,50.33,504.33,1466.53,47.31,1182,179,15.15%,17.31%,544,77,14.16%,18.32%,638,102,15.99%,16.55%,2125,229,31,14,17,sample
2026-05-05,样例门店D,9001004,北京市,北京,丰台区,1551.61,2458.79,1804.87,33.0,54.69,713.99,1696.58,51.41,1349,223,16.53%,14.80%,621,96,15.45%,15.66%,729,127,17.45%,14.15%,2159,273,33,15,18,sample
2026-05-06,样例门店A,9001001,北京市,北京,朝阳区,842.70,1370.82,1041.33,24.0,43.39,373.17,978.85,40.79,802,110,13.70%,21.83%,369,47,12.81%,19.29%,433,63,14.46%,23.75%,1438,138,24,9,15,sample
2026-05-06,样例门店B,9001002,北京市,北京,海淀区,1134.33,1858.37,1386.18,29.0,47.80,524.98,1303.01,44.93,1030,159,15.45%,18.22%,474,68,14.44%,16.10%,556,91,16.31%,19.82%,1620,211,29,11,18,sample
2026-05-06,样例门店C,9001003,北京市,北京,西城区,1460.42,2224.40,1722.92,33.0,52.21,561.54,1619.54,49.08,1253,205,16.36%,16.09%,577,88,15.30%,14.22%,677,117,17.27%,17.50%,2127,253,33,13,20,sample
2026-05-06,样例门店D,9001004,北京市,北京,丰台区,1669.60,2593.17,1925.08,34.0,56.62,729.97,1809.58,53.22,1389,242,17.41%,14.06%,639,104,16.27%,12.42%,750,138,18.37%,15.29%,2243,300,34,13,21,sample
2026-05-07,样例门店A,9001001,北京市,北京,朝阳区,775.52,1258.97,944.30,23.0,41.06,356.53,887.64,38.59,777,109,14.00%,21.14%,358,47,13.08%,19.91%,420,62,14.77%,22.07%,1271,141,23,9,14,sample
2026-05-07,样例门店B,9001002,北京市,北京,海淀区,1064.36,1707.19,1274.31,28.0,45.51,483.84,1197.85,42.78,1002,153,15.26%,18.31%,461,66,14.27%,17.25%,541,87,16.11%,19.11%,1694,188,28,11,17,sample
2026-05-07,样例门店C,9001003,北京市,北京,西城区,1358.00,2136.37,1598.91,32.0,49.97,595.70,1502.98,46.97,1222,195,15.97%,16.39%,562,84,14.93%,15.44%,660,111,16.86%,17.11%,2198,241,32,13,19,sample
2026-05-07,样例门店D,9001004,北京市,北京,丰台区,1821.03,2787.43,2122.41,39.0,54.42,735.99,1995.07,51.16,1578,269,17.03%,14.51%,726,116,15.92%,13.67%,852,153,17.98%,15.15%,2695,353,39,16,23,sample
2026-05-08,样例门店A,9001001,北京市,北京,朝阳区,919.25,1484.62,1114.46,26.0,42.86,417.47,1047.60,40.29,865,138,15.95%,18.85%,398,59,14.91%,18.85%,467,79,16.84%,18.85%,1480,175,26,11,15,sample
2026-05-08,样例门店B,9001002,北京市,北京,海淀区,1233.37,1905.39,1468.26,31.0,47.36,493.55,1380.16,44.52,1098,165,15.04%,18.77%,505,71,14.06%,18.77%,593,94,15.88%,18.77%,1884,212,31,13,18,sample
2026-05-08,样例门店C,9001003,北京市,北京,西城区,1466.90,2304.77,1763.32,34.0,51.86,603.33,1657.52,48.75,1293,211,16.32%,16.11%,595,91,15.25%,16.11%,698,120,17.22%,16.11%,2192,265,34,15,19,sample
2026-05-08,样例门店D,9001004,北京市,北京,丰台区,1766.72,2666.17,2029.02,36.0,56.36,702.68,1907.28,52.98,1470,236,16.06%,15.25%,676,102,15.01%,15.25%,794,135,16.95%,15.25%,2309,303,36,15,21,sample
2026-05-09,样例门店A,9001001,北京市,北京,朝阳区,1126.03,1801.02,1385.68,31.0,44.70,471.77,1302.53,42.02,1008,153,15.22%,20.21%,464,66,14.23%,21.38%,544,87,16.06%,19.32%,1724,190,31,14,17,sample
2026-05-09,样例门店B,9001002,北京市,北京,海淀区,1455.83,2430.45,1772.74,36.0,49.24,723.23,1666.38,46.29,1257,186,14.77%,19.39%,578,80,13.81%,20.52%,679,106,15.59%,18.54%,2184,239,36,16,20,sample
2026-05-09,样例门店C,9001003,北京市,北京,西城区,1749.04,2731.37,2097.67,39.0,53.79,704.68,1971.81,50.56,1467,254,17.34%,15.34%,675,109,16.20%,16.23%,792,145,18.30%,14.66%,2542,328,39,18,21,sample
2026-05-09,样例门店D,9001004,北京市,北京,丰台区,2252.87,3462.50,2566.52,44.0,58.33,976.06,2412.53,54.83,1769,282,15.95%,15.59%,814,121,14.91%,16.50%,955,161,16.83%,14.91%,3048,376,44,20,24,sample
2026-05-10,样例门店A,9001001,北京市,北京,朝阳区,813.51,1348.21,1014.82,24.0,42.28,377.07,953.93,39.75,814,123,15.15%,19.45%,375,53,14.16%,17.19%,440,70,15.99%,21.16%,1397,152,24,9,15,sample
2026-05-10,样例门店B,9001002,北京市,北京,海淀区,1176.54,1928.94,1453.03,31.0,46.87,532.33,1365.85,44.06,1104,158,14.30%,19.63%,508,68,13.37%,17.35%,596,90,15.10%,21.35%,1811,200,31,12,19,sample
2026-05-10,样例门店C,9001003,北京市,北京,西城区,1645.51,2666.10,1955.48,38.0,51.46,779.78,1838.15,48.37,1436,235,16.35%,16.19%,660,101,15.29%,14.30%,775,134,17.26%,17.61%,2285,304,38,14,24,sample
2026-05-10,样例门店D,9001004,北京市,北京,丰台区,2132.89,3326.51,2466.11,44.0,56.05,940.47,2318.15,52.69,1772,298,16.80%,14.77%,815,128,15.71%,13.06%,957,170,17.74%,16.07%,2840,387,44,17,27,sample
